lambda nm,X,Y,Z
425,2.49E-01,2.61E-02,1.31E+00
425.1,2.50E-01,2.62E-02,1.31E+00
425.2,2.51E-01,2.64E-02,1.31E+00
425.3,2.51E-01,2.65E-02,1.32E+00
425.4,2.52E-01,2.66E-02,1.32E+00
425.5,2.53E-01,2.68E-02,1.33E+00
425.6,2.54E-01,2.69E-02,1.33E+00
425.7,2.55E-01,2.70E-02,1.34E+00
425.8,2.56E-01,2.71E-02,1.34E+00
425.9,2.57E-01,2.73E-02,1.35E+00
426,2.58E-01,2.74E-02,1.35E+00
426.1,2.58E-01,2.75E-02,1.36E+00
426.2,2.59E-01,2.77E-02,1.36E+00
426.3,2.60E-01,2.78E-02,1.37E+00
426.4,2.61E-01,2.79E-02,1.38E+00
426.5,2.62E-01,2.81E-02,1.38E+00
426.6,2.63E-01,2.82E-02,1.39E+00
426.7,2.64E-01,2.83E-02,1.39E+00
426.8,2.65E-01,2.85E-02,1.40E+00
426.9,2.66E-01,2.86E-02,1.40E+00
427,2.66E-01,2.87E-02,1.41E+00
427.1,2.67E-01,2.89E-02,1.41E+00
427.2,2.68E-01,2.90E-02,1.42E+00
427.3,2.69E-01,2.92E-02,1.42E+00
427.4,2.70E-01,2.93E-02,1.43E+00
427.5,2.71E-01,2.95E-02,1.43E+00
427.6,2.72E-01,2.96E-02,1.44E+00
427.7,2.73E-01,2.97E-02,1.44E+00
427.8,2.74E-01,2.99E-02,1.45E+00
427.9,2.74E-01,3.00E-02,1.45E+00
428,2.75E-01,3.02E-02,1.46E+00
428.1,2.76E-01,3.03E-02,1.46E+00
428.2,2.77E-01,3.05E-02,1.47E+00
428.3,2.78E-01,3.06E-02,1.47E+00
428.4,2.79E-01,3.08E-02,1.48E+00
428.5,2.80E-01,3.09E-02,1.48E+00
428.6,2.81E-01,3.11E-02,1.49E+00
428.7,2.81E-01,3.12E-02,1.49E+00
428.8,2.82E-01,3.14E-02,1.50E+00
428.9,2.83E-01,3.15E-02,1.50E+00
