lambda nm,L,M
431.9,3.04E-02,4.39E-02
432,3.05E-02,4.42E-02
432.1,3.06E-02,4.44E-02
432.2,3.07E-02,4.46E-02
432.3,3.08E-02,4.49E-02
432.4,3.10E-02,4.51E-02
432.5,3.11E-02,4.54E-02
432.6,3.12E-02,4.56E-02
432.7,3.13E-02,4.59E-02
432.8,3.14E-02,4.61E-02
432.9,3.16E-02,4.64E-02
433,3.17E-02,4.66E-02
433.1,3.18E-02,4.69E-02
433.2,3.19E-02,4.72E-02
433.3,3.20E-02,4.74E-02
433.4,3.21E-02,4.77E-02
433.5,3.23E-02,4.79E-02
433.6,3.24E-02,4.82E-02
433.7,3.25E-02,4.84E-02
433.8,3.26E-02,4.87E-02
433.9,3.28E-02,4.89E-02
434,3.29E-02,4.92E-02
434.1,3.30E-02,4.95E-02
434.2,3.31E-02,4.97E-02
434.3,3.32E-02,5.00E-02
434.4,3.34E-02,5.02E-02
434.5,3.35E-02,5.05E-02
434.6,3.36E-02,5.08E-02
434.7,3.37E-02,5.10E-02
434.8,3.39E-02,5.13E-02
434.9,3.40E-02,5.16E-02
435,3.41E-02,5.18E-02
435.1,3.42E-02,5.21E-02
435.2,3.44E-02,5.23E-02
435.3,3.45E-02,5.26E-02
435.4,3.46E-02,5.29E-02
435.5,3.47E-02,5.31E-02
435.6,3.49E-02,5.34E-02
435.7,3.50E-02,5.37E-02
435.8,3.51E-02,5.39E-02
435.9,3.52E-02,5.42E-02
436,3.54E-02,5.45E-02
436.1,3.55E-02,5.47E-02
436.2,3.56E-02,5.50E-02
436.3,3.57E-02,5.53E-02
436.4,3.59E-02,5.55E-02
436.5,3.60E-02,5.58E-02
436.6,3.61E-02,5.61E-02
436.7,3.63E-02,5.63E-02
436.8,3.64E-02,5.66E-02
436.9,3.65E-02,5.68E-02
437,3.66E-02,5.71E-02
437.1,3.68E-02,5.74E-02
437.2,3.69E-02,5.76E-02
437.3,3.70E-02,5.79E-02
437.4,3.71E-02,5.82E-02
437.5,3.73E-02,5.84E-02
437.6,3.74E-02,5.87E-02
437.7,3.75E-02,5.90E-02
437.8,3.76E-02,5.92E-02
437.9,3.78E-02,5.95E-02
438,3.79E-02,5.97E-02
438.1,3.80E-02,6.00E-02
438.2,3.81E-02,6.03E-02
438.3,3.83E-02,6.05E-02
438.4,3.84E-02,6.08E-02
438.5,3.85E-02,6.10E-02
438.6,3.86E-02,6.13E-02
438.7,3.88E-02,6.15E-02
438.8,3.89E-02,6.18E-02
438.9,3.90E-02,6.21E-02
439,3.91E-02,6.23E-02
439.1,3.92E-02,6.26E-02
439.2,3.94E-02,6.28E-02
439.3,3.95E-02,6.31E-02
439.4,3.96E-02,6.33E-02
439.5,3.97E-02,6.36E-02
439.6,3.98E-02,6.38E-02
