lambda nm,L,M
703.8,4.47E-03,2.77E-04
703.9,4.44E-03,2.75E-04
704,4.41E-03,2.73E-04
704.1,4.37E-03,2.71E-04
704.2,4.34E-03,2.69E-04
704.3,4.31E-03,2.67E-04
704.4,4.28E-03,2.65E-04
704.5,4.25E-03,2.63E-04
704.6,4.21E-03,2.61E-04
704.7,4.18E-03,2.59E-04
704.8,4.15E-03,2.57E-04
704.9,4.12E-03,2.55E-04
705,4.09E-03,2.53E-04
705.1,4.06E-03,2.52E-04
705.2,4.03E-03,2.50E-04
705.3,4.00E-03,2.48E-04
705.4,3.97E-03,2.46E-04
705.5,3.94E-03,2.44E-04
705.6,3.91E-03,2.42E-04
705.7,3.88E-03,2.41E-04
705.8,3.85E-03,2.39E-04
705.9,3.83E-03,2.37E-04
706,3.80E-03,2.35E-04
706.1,3.77E-03,2.34E-04
706.2,3.74E-03,2.32E-04
706.3,3.71E-03,2.30E-04
706.4,3.68E-03,2.28E-04
706.5,3.66E-03,2.27E-04
706.6,3.63E-03,2.25E-04
706.7,3.60E-03,2.23E-04
706.8,3.58E-03,2.22E-04
706.9,3.55E-03,2.20E-04
707,3.52E-03,2.18E-04
707.1,3.50E-03,2.17E-04
707.2,3.47E-03,2.15E-04
707.3,3.44E-03,2.13E-04
707.4,3.42E-03,2.12E-04
707.5,3.39E-03,2.10E-04
707.6,3.37E-03,2.09E-04
707.7,3.34E-03,2.07E-04
707.8,3.32E-03,2.06E-04
707.9,3.29E-03,2.04E-04
708,3.27E-03,2.03E-04
708.1,3.24E-03,2.01E-04
708.2,3.22E-03,2.00E-04
708.3,3.19E-03,1.98E-04
708.4,3.17E-03,1.97E-04
708.5,3.14E-03,1.95E-04
708.6,3.12E-03,1.94E-04
708.7,3.10E-03,1.92E-04
708.8,3.07E-03,1.91E-04
708.9,3.05E-03,1.89E-04
709,3.03E-03,1.88E-04
709.1,3.00E-03,1.87E-04
709.2,2.98E-03,1.85E-04
709.3,2.96E-03,1.84E-04
709.4,2.94E-03,1.82E-04
709.5,2.91E-03,1.81E-04
709.6,2.89E-03,1.80E-04
709.7,2.87E-03,1.78E-04
709.8,2.85E-03,1.77E-04
709.9,2.83E-03,1.76E-04
710,2.80E-03,1.74E-04
710.1,2.78E-03,1.73E-04
710.2,2.76E-03,1.72E-04
710.3,2.74E-03,1.71E-04
710.4,2.72E-03,1.69E-04
710.5,2.70E-03,1.68E-04
710.6,2.68E-03,1.67E-04
710.7,2.66E-03,1.66E-04
710.8,2.64E-03,1.64E-04
710.9,2.62E-03,1.63E-04
711,2.60E-03,1.62E-04
711.1,2.58E-03,1.61E-04
711.2,2.56E-03,1.59E-04
711.3,2.54E-03,1.58E-04
711.4,2.52E-03,1.57E-04
711.5,2.50E-03,1.56E-04
711.6,2.48E-03,1.55E-04
711.7,2.46E-03,1.54E-04
711.8,2.45E-03,1.53E-04
711.9,2.43E-03,1.51E-04
712,2.41E-03,1.50E-04
712.1,2.39E-03,1.49E-04
712.2,2.37E-03,1.48E-04
712.3,2.35E-03,1.47E-04
712.4,2.34E-03,1.46E-04
712.5,2.32E-03,1.45E-04
712.6,2.30E-03,1.44E-04
712.7,2.28E-03,1.43E-04
712.8,2.27E-03,1.42E-04
712.9,2.25E-03,1.41E-04
713,2.23E-03,1.40E-04
713.1,2.22E-03,1.39E-04
713.2,2.20E-03,1.38E-04
713.3,2.18E-03,1.37E-04
713.4,2.17E-03,1.36E-04
713.5,2.15E-03,1.35E-04
713.6,2.13E-03,1.34E-04
713.7,2.12E-03,1.33E-04
713.8,2.10E-03,1.32E-04
713.9,2.09E-03,1.31E-04
714,2.07E-03,1.30E-04
714.1,2.05E-03,1.29E-04
714.2,2.04E-03,1.28E-04
714.3,2.02E-03,1.27E-04
714.4,2.01E-03,1.26E-04
714.5,1.99E-03,1.25E-04
714.6,1.98E-03,1.24E-04
714.7,1.96E-03,1.23E-04
714.8,1.95E-03,1.22E-04
714.9,1.94E-03,1.21E-04
715,1.92E-03,1.21E-04
715.1,1.91E-03,1.20E-04
715.2,1.89E-03,1.19E-04
715.3,1.88E-03,1.18E-04
715.4,1.86E-03,1.17E-04
715.5,1.85E-03,1.16E-04
715.6,1.84E-03,1.15E-04
715.7,1.82E-03,1.15E-04
715.8,1.81E-03,1.14E-04
715.9,1.80E-03,1.13E-04
716,1.78E-03,1.12E-04
716.1,1.77E-03,1.11E-04
716.2,1.76E-03,1.11E-04
716.3,1.74E-03,1.10E-04
716.4,1.73E-03,1.09E-04
716.5,1.72E-03,1.08E-04
716.6,1.71E-03,1.07E-04
716.7,1.69E-03,1.07E-04
716.8,1.68E-03,1.06E-04
716.9,1.67E-03,1.05E-04
717,1.66E-03,1.04E-04
717.1,1.64E-03,1.04E-04
717.2,1.63E-03,1.03E-04
717.3,1.62E-03,1.02E-04
717.4,1.61E-03,1.01E-04
717.5,1.60E-03,1.01E-04
717.6,1.58E-03,1.00E-04
717.7,1.57E-03,9.93E-05
717.8,1.56E-03,9.85E-05
717.9,1.55E-03,9.78E-05
718,1.54E-03,9.71E-05
718.1,1.53E-03,9.64E-05
718.2,1.52E-03,9.58E-05
718.3,1.50E-03,9.51E-05
718.4,1.49E-03,9.44E-05
718.5,1.48E-03,9.37E-05
718.6,1.47E-03,9.30E-05
718.7,1.46E-03,9.24E-05
718.8,1.45E-03,9.17E-05
718.9,1.44E-03,9.11E-05
719,1.43E-03,9.04E-05
719.1,1.42E-03,8.98E-05
719.2,1.41E-03,8.91E-05
719.3,1.40E-03,8.85E-05
719.4,1.39E-03,8.79E-05
719.5,1.38E-03,8.72E-05
719.6,1.37E-03,8.66E-05
719.7,1.36E-03,8.60E-05
719.8,1.35E-03,8.54E-05
719.9,1.34E-03,8.48E-05
720,1.33E-03,8.42E-05
720.1,1.32E-03,8.36E-05
720.2,1.31E-03,8.30E-05
720.3,1.30E-03,8.24E-05
720.4,1.29E-03,8.18E-05
720.5,1.28E-03,8.12E-05
720.6,1.27E-03,8.06E-05
720.7,1.26E-03,8.01E-05
720.8,1.25E-03,7.95E-05
720.9,1.24E-03,7.89E-05
721,1.23E-03,7.84E-05
721.1,1.22E-03,7.78E-05
721.2,1.21E-03,7.72E-05
721.3,1.21E-03,7.67E-05
721.4,1.20E-03,7.61E-05
721.5,1.19E-03,7.56E-05
721.6,1.18E-03,7.51E-05
721.7,1.17E-03,7.45E-05
721.8,1.16E-03,7.40E-05
721.9,1.15E-03,7.35E-05
722,1.14E-03,7.29E-05
722.1,1.14E-03,7.24E-05
722.2,1.13E-03,7.19E-05
722.3,1.12E-03,7.14E-05
722.4,1.11E-03,7.09E-05
722.5,1.10E-03,7.04E-05
722.6,1.09E-03,6.99E-05
722.7,1.09E-03,6.94E-05
722.8,1.08E-03,6.89E-05
722.9,1.07E-03,6.84E-05
723,1.06E-03,6.79E-05
723.1,1.06E-03,6.74E-05
723.2,1.05E-03,6.70E-05
723.3,1.04E-03,6.65E-05
723.4,1.03E-03,6.60E-05
723.5,1.02E-03,6.55E-05
723.6,1.02E-03,6.51E-05
723.7,1.01E-03,6.46E-05
723.8,1.00E-03,6.42E-05
723.9,9.95E-04,6.37E-05
724,9.88E-04,6.33E-05
724.1,9.80E-04,6.28E-05
724.2,9.73E-04,6.24E-05
724.3,9.66E-04,6.19E-05
724.4,9.59E-04,6.15E-05
724.5,9.52E-04,6.11E-05
724.6,9.45E-04,6.06E-05
724.7,9.38E-04,6.02E-05
724.8,9.31E-04,5.98E-05
724.9,9.25E-04,5.94E-05
725,9.18E-04,5.89E-05
725.1,9.11E-04,5.85E-05
725.2,9.04E-04,5.81E-05
725.3,8.98E-04,5.77E-05
725.4,8.91E-04,5.73E-05
725.5,8.85E-04,5.69E-05
725.6,8.78E-04,5.65E-05
725.7,8.72E-04,5.61E-05
725.8,8.66E-04,5.57E-05
725.9,8.59E-04,5.53E-05
726,8.53E-04,5.49E-05
726.1,8.47E-04,5.46E-05
726.2,8.41E-04,5.42E-05
726.3,8.35E-04,5.38E-05
726.4,8.29E-04,5.34E-05
726.5,8.23E-04,5.30E-05
726.6,8.17E-04,5.27E-05
726.7,8.11E-04,5.23E-05
726.8,8.05E-04,5.19E-05
726.9,7.99E-04,5.16E-05
727,7.94E-04,5.12E-05
727.1,7.88E-04,5.09E-05
727.2,7.82E-04,5.05E-05
727.3,7.77E-04,5.02E-05
727.4,7.71E-04,4.98E-05
727.5,7.65E-04,4.95E-05
727.6,7.60E-04,4.91E-05
727.7,7.54E-04,4.88E-05
727.8,7.49E-04,4.85E-05
727.9,7.44E-04,4.81E-05
728,7.38E-04,4.78E-05
728.1,7.33E-04,4.75E-05
728.2,7.28E-04,4.71E-05
728.3,7.23E-04,4.68E-05
728.4,7.17E-04,4.65E-05
728.5,7.12E-04,4.62E-05
728.6,7.07E-04,4.58E-05
728.7,7.02E-04,4.55E-05
728.8,6.97E-04,4.52E-05
728.9,6.92E-04,4.49E-05
729,6.87E-04,4.46E-05
729.1,6.82E-04,4.43E-05
729.2,6.77E-04,4.40E-05
729.3,6.72E-04,4.37E-05
729.4,6.68E-04,4.34E-05
729.5,6.63E-04,4.31E-05
729.6,6.58E-04,4.28E-05
729.7,6.53E-04,4.25E-05
729.8,6.49E-04,4.22E-05
729.9,6.44E-04,4.19E-05
730,6.39E-04,4.16E-05
730.1,6.35E-04,4.13E-05
730.2,6.30E-04,4.10E-05
730.3,6.26E-04,4.08E-05
730.4,6.21E-04,4.05E-05
730.5,6.17E-04,4.02E-05
730.6,6.12E-04,3.99E-05
730.7,6.08E-04,3.96E-05
730.8,6.04E-04,3.94E-05
730.9,5.99E-04,3.91E-05
731,5.95E-04,3.88E-05
731.1,5.91E-04,3.86E-05
731.2,5.87E-04,3.83E-05
731.3,5.82E-04,3.80E-05
731.4,5.78E-04,3.78E-05
731.5,5.74E-04,3.75E-05
731.6,5.70E-04,3.72E-05
731.7,5.66E-04,3.70E-05
731.8,5.62E-04,3.67E-05
731.9,5.58E-04,3.65E-05
732,5.54E-04,3.62E-05
732.1,5.50E-04,3.60E-05
732.2,5.46E-04,3.57E-05
732.3,5.42E-04,3.55E-05
732.4,5.38E-04,3.52E-05
732.5,5.34E-04,3.50E-05
732.6,5.30E-04,3.48E-05
732.7,5.27E-04,3.45E-05
732.8,5.23E-04,3.43E-05
732.9,5.19E-04,3.40E-05
733,5.15E-04,3.38E-05
733.1,5.12E-04,3.36E-05
733.2,5.08E-04,3.33E-05
733.3,5.04E-04,3.31E-05
733.4,5.01E-04,3.29E-05
733.5,4.97E-04,3.27E-05
733.6,4.94E-04,3.24E-05
733.7,4.90E-04,3.22E-05
733.8,4.86E-04,3.20E-05
733.9,4.83E-04,3.18E-05
734,4.79E-04,3.15E-05
734.1,4.76E-04,3.13E-05
734.2,4.73E-04,3.11E-05
734.3,4.69E-04,3.09E-05
734.4,4.66E-04,3.07E-05
734.5,4.62E-04,3.05E-05
734.6,4.59E-04,3.03E-05
734.7,4.56E-04,3.01E-05
734.8,4.53E-04,2.98E-05
734.9,4.49E-04,2.96E-05
735,4.46E-04,2.94E-05
735.1,4.43E-04,2.92E-05
735.2,4.40E-04,2.90E-05
735.3,4.36E-04,2.88E-05
735.4,4.33E-04,2.86E-05
735.5,4.30E-04,2.84E-05
735.6,4.27E-04,2.82E-05
735.7,4.24E-04,2.80E-05
735.8,4.21E-04,2.78E-05
735.9,4.18E-04,2.77E-05
736,4.15E-04,2.75E-05
736.1,4.12E-04,2.73E-05
736.2,4.09E-04,2.71E-05
736.3,4.06E-04,2.69E-05
736.4,4.03E-04,2.67E-05
736.5,4.00E-04,2.65E-05
736.6,3.97E-04,2.63E-05
736.7,3.94E-04,2.62E-05
736.8,3.91E-04,2.60E-05
736.9,3.89E-04,2.58E-05
737,3.86E-04,2.56E-05
737.1,3.83E-04,2.55E-05
737.2,3.80E-04,2.53E-05
737.3,3.77E-04,2.51E-05
737.4,3.75E-04,2.49E-05
737.5,3.72E-04,2.48E-05
737.6,3.69E-04,2.46E-05
737.7,3.67E-04,2.44E-05
737.8,3.64E-04,2.43E-05
737.9,3.61E-04,2.41E-05
738,3.59E-04,2.39E-05
738.1,3.56E-04,2.38E-05
738.2,3.54E-04,2.36E-05
738.3,3.51E-04,2.34E-05
738.4,3.49E-04,2.33E-05
738.5,3.46E-04,2.31E-05
738.6,3.44E-04,2.30E-05
738.7,3.41E-04,2.28E-05
738.8,3.39E-04,2.26E-05
738.9,3.36E-04,2.25E-05
739,3.34E-04,2.23E-05
739.1,3.31E-04,2.22E-05
739.2,3.29E-04,2.20E-05
739.3,3.27E-04,2.19E-05
739.4,3.24E-04,2.17E-05
739.5,3.22E-04,2.16E-05
739.6,3.20E-04,2.15E-05
739.7,3.18E-04,2.13E-05
739.8,3.15E-04,2.12E-05
739.9,3.13E-04,2.10E-05
740,3.11E-04,2.09E-05
740.1,3.09E-04,2.07E-05
740.2,3.06E-04,2.06E-05
740.3,3.04E-04,2.05E-05
740.4,3.02E-04,2.03E-05
740.5,3.00E-04,2.02E-05
740.6,2.98E-04,2.01E-05
740.7,2.96E-04,1.99E-05
740.8,2.94E-04,1.98E-05
740.9,2.92E-04,1.97E-05
741,2.90E-04,1.95E-05
741.1,2.88E-04,1.94E-05
741.2,2.86E-04,1.93E-05
741.3,2.84E-04,1.92E-05
741.4,2.82E-04,1.90E-05
741.5,2.80E-04,1.89E-05
741.6,2.78E-04,1.88E-05
741.7,2.76E-04,1.87E-05
741.8,2.74E-04,1.85E-05
741.9,2.72E-04,1.84E-05
742,2.70E-04,1.83E-05
742.1,2.68E-04,1.82E-05
742.2,2.66E-04,1.81E-05
742.3,2.65E-04,1.79E-05
742.4,2.63E-04,1.78E-05
742.5,2.61E-04,1.77E-05
742.6,2.59E-04,1.76E-05
742.7,2.57E-04,1.75E-05
742.8,2.56E-04,1.74E-05
742.9,2.54E-04,1.73E-05
743,2.52E-04,1.71E-05
743.1,2.50E-04,1.70E-05
743.2,2.49E-04,1.69E-05
743.3,2.47E-04,1.68E-05
743.4,2.45E-04,1.67E-05
743.5,2.43E-04,1.66E-05
743.6,2.42E-04,1.65E-05
743.7,2.40E-04,1.64E-05
743.8,2.38E-04,1.63E-05
743.9,2.37E-04,1.62E-05
744,2.35E-04,1.61E-05
744.1,2.33E-04,1.60E-05
744.2,2.32E-04,1.59E-05
744.3,2.30E-04,1.57E-05
744.4,2.29E-04,1.56E-05
744.5,2.27E-04,1.55E-05
744.6,2.26E-04,1.54E-05
744.7,2.24E-04,1.53E-05
744.8,2.22E-04,1.52E-05
744.9,2.21E-04,1.51E-05
745,2.19E-04,1.50E-05
745.1,2.18E-04,1.49E-05
745.2,2.16E-04,1.48E-05
745.3,2.15E-04,1.48E-05
745.4,2.13E-04,1.47E-05
745.5,2.12E-04,1.46E-05
745.6,2.10E-04,1.45E-05
745.7,2.09E-04,1.44E-05
745.8,2.07E-04,1.43E-05
745.9,2.06E-04,1.42E-05
746,2.05E-04,1.41E-05
746.1,2.03E-04,1.40E-05
746.2,2.02E-04,1.39E-05
746.3,2.00E-04,1.38E-05
746.4,1.99E-04,1.37E-05
746.5,1.97E-04,1.36E-05
746.6,1.96E-04,1.35E-05
746.7,1.95E-04,1.35E-05
746.8,1.93E-04,1.34E-05
746.9,1.92E-04,1.33E-05
747,1.91E-04,1.32E-05
747.1,1.89E-04,1.31E-05
747.2,1.88E-04,1.30E-05
747.3,1.87E-04,1.29E-05
747.4,1.85E-04,1.28E-05
747.5,1.84E-04,1.28E-05
747.6,1.83E-04,1.27E-05
747.7,1.82E-04,1.26E-05
747.8,1.80E-04,1.25E-05
747.9,1.79E-04,1.24E-05
748,1.78E-04,1.23E-05
748.1,1.77E-04,1.23E-05
748.2,1.75E-04,1.22E-05
748.3,1.74E-04,1.21E-05
748.4,1.73E-04,1.20E-05
748.5,1.72E-04,1.19E-05
748.6,1.70E-04,1.19E-05
748.7,1.69E-04,1.18E-05
748.8,1.68E-04,1.17E-05
748.9,1.67E-04,1.16E-05
749,1.66E-04,1.16E-05
749.1,1.65E-04,1.15E-05
749.2,1.63E-04,1.14E-05
749.3,1.62E-04,1.13E-05
749.4,1.61E-04,1.13E-05
749.5,1.60E-04,1.12E-05
749.6,1.59E-04,1.11E-05
749.7,1.58E-04,1.10E-05
749.8,1.57E-04,1.10E-05
749.9,1.56E-04,1.09E-05
750,1.55E-04,1.08E-05
750.1,1.53E-04,1.07E-05
750.2,1.52E-04,1.07E-05
750.3,1.51E-04,1.06E-05
750.4,1.50E-04,1.05E-05
750.5,1.49E-04,1.05E-05
750.6,1.48E-04,1.04E-05
750.7,1.47E-04,1.03E-05
750.8,1.46E-04,1.03E-05
750.9,1.45E-04,1.02E-05
751,1.44E-04,1.01E-05
751.1,1.43E-04,1.01E-05
751.2,1.42E-04,1.00E-05
751.3,1.41E-04,9.94E-06
751.4,1.40E-04,9.87E-06
751.5,1.39E-04,9.81E-06
751.6,1.38E-04,9.74E-06
751.7,1.37E-04,9.68E-06
751.8,1.36E-04,9.62E-06
751.9,1.35E-04,9.56E-06
752,1.35E-04,9.49E-06
752.1,1.34E-04,9.43E-06
752.2,1.33E-04,9.37E-06
752.3,1.32E-04,9.31E-06
752.4,1.31E-04,9.25E-06
752.5,1.30E-04,9.19E-06
752.6,1.29E-04,9.13E-06
752.7,1.28E-04,9.07E-06
752.8,1.27E-04,9.01E-06
752.9,1.26E-04,8.96E-06
753,1.26E-04,8.90E-06
753.1,1.25E-04,8.84E-06
753.2,1.24E-04,8.78E-06
753.3,1.23E-04,8.73E-06
753.4,1.22E-04,8.67E-06
753.5,1.21E-04,8.61E-06
753.6,1.21E-04,8.56E-06
753.7,1.20E-04,8.50E-06
753.8,1.19E-04,8.45E-06
753.9,1.18E-04,8.40E-06
754,1.17E-04,8.34E-06
754.1,1.16E-04,8.29E-06
754.2,1.16E-04,8.23E-06
754.3,1.15E-04,8.18E-06
754.4,1.14E-04,8.13E-06
754.5,1.13E-04,8.08E-06
754.6,1.13E-04,8.03E-06
754.7,1.12E-04,7.97E-06
754.8,1.11E-04,7.92E-06
754.9,1.10E-04,7.87E-06
755,1.10E-04,7.82E-06
755.1,1.09E-04,7.77E-06
755.2,1.08E-04,7.72E-06
755.3,1.07E-04,7.67E-06
755.4,1.07E-04,7.63E-06
755.5,1.06E-04,7.58E-06
755.6,1.05E-04,7.53E-06
755.7,1.04E-04,7.48E-06
755.8,1.04E-04,7.43E-06
755.9,1.03E-04,7.39E-06
756,1.02E-04,7.34E-06
756.1,1.02E-04,7.29E-06
756.2,1.01E-04,7.25E-06
756.3,1.00E-04,7.20E-06
756.4,9.96E-05,7.15E-06
756.5,9.89E-05,7.11E-06
756.6,9.82E-05,7.06E-06
756.7,9.75E-05,7.02E-06
756.8,9.69E-05,6.97E-06
756.9,9.62E-05,6.93E-06
757,9.56E-05,6.89E-06
757.1,9.49E-05,6.84E-06
757.2,9.43E-05,6.80E-06
757.3,9.37E-05,6.76E-06
757.4,9.30E-05,6.71E-06
757.5,9.24E-05,6.67E-06
757.6,9.18E-05,6.63E-06
757.7,9.12E-05,6.59E-06
757.8,9.05E-05,6.54E-06
757.9,8.99E-05,6.50E-06
758,8.93E-05,6.46E-06
758.1,8.87E-05,6.42E-06
758.2,8.81E-05,6.38E-06
758.3,8.75E-05,6.34E-06
758.4,8.69E-05,6.30E-06
758.5,8.63E-05,6.26E-06
758.6,8.58E-05,6.22E-06
758.7,8.52E-05,6.18E-06
758.8,8.46E-05,6.14E-06
758.9,8.40E-05,6.10E-06
759,8.35E-05,6.06E-06
759.1,8.29E-05,6.03E-06
759.2,8.23E-05,5.99E-06
759.3,8.18E-05,5.95E-06
759.4,8.12E-05,5.91E-06
759.5,8.07E-05,5.87E-06
759.6,8.01E-05,5.84E-06
759.7,7.96E-05,5.80E-06
759.8,7.91E-05,5.76E-06
759.9,7.85E-05,5.73E-06
760,7.80E-05,5.69E-06
760.1,7.75E-05,5.65E-06
760.2,7.69E-05,5.62E-06
760.3,7.64E-05,5.58E-06
760.4,7.59E-05,5.55E-06
760.5,7.54E-05,5.51E-06
760.6,7.49E-05,5.48E-06
760.7,7.44E-05,5.44E-06
760.8,7.39E-05,5.41E-06
760.9,7.34E-05,5.37E-06
761,7.29E-05,5.34E-06
761.1,7.24E-05,5.31E-06
761.2,7.19E-05,5.27E-06
761.3,7.14E-05,5.24E-06
761.4,7.09E-05,5.20E-06
761.5,7.04E-05,5.17E-06
761.6,7.00E-05,5.14E-06
761.7,6.95E-05,5.11E-06
761.8,6.90E-05,5.07E-06
761.9,6.86E-05,5.04E-06
762,6.81E-05,5.01E-06
762.1,6.76E-05,4.98E-06
762.2,6.72E-05,4.95E-06
762.3,6.67E-05,4.91E-06
762.4,6.63E-05,4.88E-06
762.5,6.58E-05,4.85E-06
762.6,6.54E-05,4.82E-06
762.7,6.49E-05,4.79E-06
762.8,6.45E-05,4.76E-06
762.9,6.41E-05,4.73E-06
763,6.36E-05,4.70E-06
763.1,6.32E-05,4.67E-06
763.2,6.28E-05,4.64E-06
763.3,6.24E-05,4.61E-06
763.4,6.19E-05,4.58E-06
763.5,6.15E-05,4.55E-06
763.6,6.11E-05,4.52E-06
763.7,6.07E-05,4.50E-06
763.8,6.03E-05,4.47E-06
763.9,5.99E-05,4.44E-06
764,5.95E-05,4.41E-06
764.1,5.91E-05,4.38E-06
764.2,5.87E-05,4.35E-06
764.3,5.83E-05,4.33E-06
764.4,5.79E-05,4.30E-06
764.5,5.75E-05,4.27E-06
764.6,5.71E-05,4.25E-06
764.7,5.68E-05,4.22E-06
764.8,5.64E-05,4.19E-06
764.9,5.60E-05,4.17E-06
765,5.56E-05,4.14E-06
765.1,5.53E-05,4.11E-06
765.2,5.49E-05,4.09E-06
765.3,5.45E-05,4.06E-06
765.4,5.42E-05,4.04E-06
765.5,5.38E-05,4.01E-06
765.6,5.34E-05,3.99E-06
765.7,5.31E-05,3.96E-06
765.8,5.27E-05,3.94E-06
765.9,5.24E-05,3.91E-06
766,5.20E-05,3.89E-06
766.1,5.17E-05,3.86E-06
766.2,5.14E-05,3.84E-06
766.3,5.10E-05,3.82E-06
766.4,5.07E-05,3.79E-06
766.5,5.03E-05,3.77E-06
766.6,5.00E-05,3.74E-06
766.7,4.97E-05,3.72E-06
766.8,4.94E-05,3.70E-06
766.9,4.90E-05,3.67E-06
767,4.87E-05,3.65E-06
767.1,4.84E-05,3.63E-06
767.2,4.81E-05,3.61E-06
767.3,4.77E-05,3.58E-06
767.4,4.74E-05,3.56E-06
767.5,4.71E-05,3.54E-06
767.6,4.68E-05,3.52E-06
767.7,4.65E-05,3.50E-06
767.8,4.62E-05,3.47E-06
767.9,4.59E-05,3.45E-06
768,4.56E-05,3.43E-06
768.1,4.53E-05,3.41E-06
768.2,4.50E-05,3.39E-06
768.3,4.47E-05,3.37E-06
768.4,4.44E-05,3.35E-06
768.5,4.41E-05,3.33E-06
768.6,4.38E-05,3.30E-06
768.7,4.35E-05,3.28E-06
768.8,4.32E-05,3.26E-06
768.9,4.30E-05,3.24E-06
769,4.27E-05,3.22E-06
769.1,4.24E-05,3.20E-06
769.2,4.21E-05,3.18E-06
769.3,4.18E-05,3.16E-06
769.4,4.16E-05,3.14E-06
769.5,4.13E-05,3.12E-06
769.6,4.10E-05,3.10E-06
769.7,4.07E-05,3.08E-06
769.8,4.05E-05,3.07E-06
769.9,4.02E-05,3.05E-06
770,3.99E-05,3.03E-06
770.1,3.97E-05,3.01E-06
770.2,3.94E-05,2.99E-06
770.3,3.91E-05,2.97E-06
770.4,3.89E-05,2.95E-06
770.5,3.86E-05,2.93E-06
770.6,3.84E-05,2.91E-06
770.7,3.81E-05,2.90E-06
770.8,3.79E-05,2.88E-06
770.9,3.76E-05,2.86E-06
771,3.74E-05,2.84E-06
771.1,3.71E-05,2.82E-06
771.2,3.69E-05,2.81E-06
771.3,3.66E-05,2.79E-06
771.4,3.64E-05,2.77E-06
771.5,3.61E-05,2.75E-06
771.6,3.59E-05,2.74E-06
771.7,3.56E-05,2.72E-06
771.8,3.54E-05,2.70E-06
771.9,3.52E-05,2.68E-06
772,3.49E-05,2.67E-06
772.1,3.47E-05,2.65E-06
772.2,3.45E-05,2.63E-06
772.3,3.42E-05,2.62E-06
772.4,3.40E-05,2.60E-06
772.5,3.38E-05,2.59E-06
772.6,3.36E-05,2.57E-06
772.7,3.33E-05,2.55E-06
772.8,3.31E-05,2.54E-06
772.9,3.29E-05,2.52E-06
773,3.27E-05,2.50E-06
773.1,3.25E-05,2.49E-06
773.2,3.22E-05,2.47E-06
773.3,3.20E-05,2.46E-06
773.4,3.18E-05,2.44E-06
773.5,3.16E-05,2.43E-06
773.6,3.14E-05,2.41E-06
773.7,3.12E-05,2.40E-06
773.8,3.10E-05,2.38E-06
773.9,3.08E-05,2.37E-06
774,3.06E-05,2.35E-06
774.1,3.04E-05,2.34E-06
774.2,3.02E-05,2.32E-06
774.3,3.00E-05,2.31E-06
774.4,2.98E-05,2.29E-06
774.5,2.96E-05,2.28E-06
774.6,2.94E-05,2.27E-06
774.7,2.92E-05,2.25E-06
774.8,2.90E-05,2.24E-06
774.9,2.88E-05,2.22E-06
775,2.86E-05,2.21E-06
775.1,2.84E-05,2.20E-06
775.2,2.82E-05,2.18E-06
775.3,2.81E-05,2.17E-06
775.4,2.79E-05,2.16E-06
775.5,2.77E-05,2.14E-06
775.6,2.75E-05,2.13E-06
775.7,2.73E-05,2.12E-06
775.8,2.72E-05,2.11E-06
775.9,2.70E-05,2.09E-06
776,2.68E-05,2.08E-06
776.1,2.66E-05,2.07E-06
776.2,2.65E-05,2.05E-06
776.3,2.63E-05,2.04E-06
776.4,2.61E-05,2.03E-06
776.5,2.60E-05,2.02E-06
776.6,2.58E-05,2.00E-06
776.7,2.56E-05,1.99E-06
776.8,2.55E-05,1.98E-06
776.9,2.53E-05,1.97E-06
777,2.51E-05,1.96E-06
777.1,2.50E-05,1.95E-06
777.2,2.48E-05,1.93E-06
777.3,2.46E-05,1.92E-06
777.4,2.45E-05,1.91E-06
777.5,2.43E-05,1.90E-06
777.6,2.42E-05,1.89E-06
777.7,2.40E-05,1.88E-06
777.8,2.39E-05,1.86E-06
777.9,2.37E-05,1.85E-06
778,2.36E-05,1.84E-06
778.1,2.34E-05,1.83E-06
778.2,2.33E-05,1.82E-06
778.3,2.31E-05,1.81E-06
778.4,2.30E-05,1.80E-06
778.5,2.28E-05,1.79E-06
778.6,2.27E-05,1.78E-06
778.7,2.25E-05,1.77E-06
778.8,2.24E-05,1.76E-06
778.9,2.22E-05,1.75E-06
779,2.21E-05,1.74E-06
779.1,2.20E-05,1.72E-06
779.2,2.18E-05,1.71E-06
779.3,2.17E-05,1.70E-06
779.4,2.15E-05,1.69E-06
779.5,2.14E-05,1.68E-06
779.6,2.13E-05,1.67E-06
779.7,2.11E-05,1.66E-06
779.8,2.10E-05,1.65E-06
779.9,2.09E-05,1.64E-06
780,2.07E-05,1.63E-06
780.1,2.06E-05,1.62E-06
780.2,2.05E-05,1.61E-06
780.3,2.03E-05,1.61E-06
780.4,2.02E-05,1.60E-06
780.5,2.01E-05,1.59E-06
780.6,1.99E-05,1.58E-06
780.7,1.98E-05,1.57E-06
780.8,1.97E-05,1.56E-06
780.9,1.96E-05,1.55E-06
781,1.94E-05,1.54E-06
781.1,1.93E-05,1.53E-06
781.2,1.92E-05,1.52E-06
781.3,1.91E-05,1.51E-06
781.4,1.90E-05,1.50E-06
781.5,1.88E-05,1.49E-06
781.6,1.87E-05,1.48E-06
781.7,1.86E-05,1.48E-06
781.8,1.85E-05,1.47E-06
781.9,1.84E-05,1.46E-06
782,1.82E-05,1.45E-06
782.1,1.81E-05,1.44E-06
782.2,1.80E-05,1.43E-06
782.3,1.79E-05,1.42E-06
